Item	Aggregate	PMC_comm_use_A-B	PMC_non_comm_use_O-Z	DeGruyter	PsychOpen	ScienceOpen
@colspan	2.0	2.1	1.9	.1	.9	2.1
@rowspan	2.0	2.1	1.9	.1	.3	2.1
@align	2.0	2.0	1.8	1.9	2.1	2.1
@id	1.9	1.9	1.8	1.8	1.8	2.0
@rid	1.9	1.9	1.8	1.7	2.0	2.0
@ref-type	1.9	1.9	1.8	1.7	2.0	2.0
@pub-id-type	1.7	1.8	1.5	.5	1.8	1.7
@valign	1.6	1.6	1.5	1.6	.5	1.6
@publication-type	1.5	1.6	1.5	1.3	1.8	1.6
@person-group-type	1.4	1.4	1.4	.4	1.6	1.5
@xlink:href	1.0	1.1	.9	1.6	.9	1.1
@name-style	.9	.7	1.1	-9	2.1	1.0
@char	.8	.9	.7	-9	2.1	1.3
@contrib-type	.8	.8	.8	.5	.7	1.0
@style	.7	.9	.3	-9	1.4	1.1
@position	.6	.7	.6	.1	.8	.6
@content-type	.6	.7	.2	.9	-.2	.6
@ext-link-type	.6	.6	.5	.8	.7	.7
@pub-type	.6	.6	.6	.6	.5	.6
@journal-id-type	.4	.3	.4	.5	.3	.5
@rules	.3	.4	.1	-.1	.5	.3
@frame	.3	.4	.1	-.1	.5	.3
@sec-type	.3	.3	.3	-9	.8	.5
@citation-type	.3	.4	-.2	-9	-9	-9
@orientation	.3	.2	.3	-.4	.8	.4
@span	.3	.3	.2	-9	-9	.5
@date-type	.2	.3	.2	.2	.3	.3
@xml:lang	.2	.2	.2	.0	.3	.8
@institution-id-type	.1	.3	-.4	-9	-9	.6
@charoff	.1	-.4	.4	-9	-9	-1.0
@subj-group-type	.1	.0	.1	-.8	.1	.1
@article-type	.0	.0	.0	.0	.0	.0
@toggle	-.0	-.1	.0	-9	-9	.2
@width	-.0	-.0	-.1	1.5	1.3	-.0
@license-type	-.1	-.0	-.2	.0	.0	-.1
@mimetype	-.2	-.1	-.4	-9	-9	-.7
@mime-subtype	-.2	-.1	-.4	-9	-9	-.8
@list-type	-.2	-.3	-.2	.2	-.3	-.3
@corresp	-.2	-.1	-.7	.0	.0	-.2
@xlink:type	-.3	-.1	-.6	-9	-9	-.4
@scope	-.3	-.7	-.0	-9	.6	.1
@contrib-id-type	-.4	-.3	-.4	-.7	-.7	.2
@fn-type	-.4	-.6	-.2	-.8	.3	.1
@notes-type	-.4	-.2	-1.4	-1.7	-9	.0
@xlink:role	-.5	-.7	-.3	-9	-9	-2.3
@authenticated	-.5	-.5	-.5	-1.6	-9	.1
@fig-type	-.5	-.7	-.3	-.1	.1	-.2
@summary	-.5	-.3	-9	-9	-9	-9
@disp-level	-.5	-1.9	-.1	-9	-9	-.5
@count	-.5	-.7	-.4	.0	-9	.1
@name	-.6	-.4	-2.0	-9	-9	-9
@xlink:title	-.8	-1.6	-.5	-9	-9	-1.4
@xlink:show	-.8	-3.5	-.4	-9	-9	-.4
@border	-.9	-.7	-1.5	-9	-9	-1.1
@equal-contrib	-.9	-.7	-1.7	-9	-.8	-.7
@country	-.9	-1.0	-.8	.4	-9	-.3
@xml:space	-.9	-1.4	-.6	-9	-9	-9
@publication-format	-1.0	-1.4	-.8	.9	.0	-.3
@alt-title-type	-1.1	-1.3	-.9	-9	.0	-.5
@abstract-type	-1.1	-1.4	-.9	-9	-.4	-.8
@iso-8601-date	-1.2	-1.2	-1.1	-9	-9	-.9
@kwd-group-type	-1.2	-1.3	-1.1	-.6	.0	-.6
@specific-use	-1.2	-1.5	-.9	.0	.3	-.7
@collab-type	-1.4	-1.7	-1.2	-9	-9	-.6
@list-content	-1.5	-1.3	-2.4	-9	-9	-2.3
@publisher-type	-1.6	-9	-1.2	-9	-9	-9
@arrange	-1.6	-1.5	-1.9	-9	-.9	-9
@underline-style	-1.6	-2.4	-1.3	-9	-9	-9
@seq	-1.7	-2.0	-1.4	-9	-9	-2.3
@award-type	-1.7	-1.8	-1.6	-1.2	-9	-1.6
@related-article-type	-1.7	-1.8	-1.6	.1	-9	-1.2
@start_date	-1.9	-2.5	-1.5	-9	-9	-1.5
@units	-2.0	-1.9	-2.3	-9	-9	-9
@vol	-2.2	-2.3	-2.1	-9	-9	-2.3
@symbol	-2.3	-9	-9	.8	-9	-9
@page	-2.3	-2.4	-2.1	-9	-9	-2.3
@style-type	-2.3	-2.1	-3.7	-9	-9	-9
@description	-2.4	-3.0	-2.0	-9	-9	-9
@assigning-authority	-2.4	-2.2	-9	-9	-9	-2.3
@glyph-data	-2.4	-3.0	-2.1	-9	-9	-9
@deceased	-2.5	-2.3	-4.4	-9	-1.7	-9
@article-version-type	-2.7	-2.8	-2.6	-9	-9	-9
@notation	-2.7	-2.7	-2.8	-1.5	-9	-9
@count-type	-2.7	-2.8	-2.7	-9	-9	-9
@vocab-identifier	-2.8	-3.0	-2.5	-9	-9	-2.3
@vocab	-2.8	-3.0	-2.5	-9	-9	-2.3
@issue	-2.8	-2.8	-2.8	-9	-9	-2.3
@vocab-term	-2.9	-3.4	-2.6	-9	-9	-9
@target-type	-2.9	-4.3	-2.5	-9	-9	-1.6
@designator	-2.9	-3.1	-2.8	-9	-9	-2.0
@dtd-version	-3.0	-9	-9	.0	.0	-9
@cellpadding	-3.0	-3.9	-2.7	-9	-9	-1.4
@cellspacing	-3.0	-4.0	-2.7	-9	-9	-1.5
@journal-id	-3.1	-3.9	-2.8	-9	-9	-9
@resolution	-3.2	-3.8	-2.9	-9	-9	-9
@y-size	-3.2	-3.8	-2.9	-9	-9	-9
@x-size	-3.2	-3.8	-2.9	-9	-9	-9
@format	-3.2	-3.8	-2.9	-9	-9	-9
@product-type	-3.2	-4.3	-2.8	-9	-9	-9
@elocation-id	-3.3	-3.1	-3.9	-9	-9	-9
@alternate-form-of	-3.4	-3.8	-3.1	-9	-9	-9
@source-type	-3.7	-5.3	-3.3	-9	-9	-9
@source-id	-3.7	-5.3	-3.3	-9	-9	-9
@source-id-type	-3.7	-5.3	-3.3	-9	-9	-9
@document-id	-3.7	-5.3	-3.3	-9	-9	-9
@document-id-type	-3.7	-5.3	-3.3	-9	-9	-9
@axis	-3.7	-3.9	-3.5	-9	-9	-9
@continued-from	-3.7	-3.9	-3.5	-9	-9	-1.6
@xlink:actuate	-3.7	-3.5	-9	-9	-9	-9
@end_date	-3.8	-9	-3.4	-9	-9	-9
@response-type	-4.0	-4.1	-3.9	-9	-9	-9
@abbrev-type	-4.1	-9	-9	-9	.0	-2.0
@prefix-word	-4.5	-4.4	-4.8	-9	-9	-9
@baseline-shift	-4.5	-4.4	-4.7	-9	-9	-9
@alt	-4.8	-9	-4.4	-9	-9	-9
@link-type	-5.8	-9	-5.4	-9	-9	-9
